,Title,Link,Authors,Venue,Year,Study Period (per user),Study Period (per user) - DAYS,# Sessions (per user),# Sessions (per user) - INTEGER,Session Length (per session),Session Length (per session) - MINUTES,"Total average est. Minutes per person. INTEGER. If range, take midpoint to estimate.",# Participants (with full data),# Participants (with full data) - INTEGER,HRI Type (detailed),HRI Type,Domain (detailed),Domain,Subdomain,Robot Used,Primary Robot Feature(s),Country,Location (detailed),Location,Age (detailed),Age group (detailed),Age group,Qualitative Data (Y/N),"Quantitative (separable conditions, Y/N)","Quantitative (by user type, Y/N)",Data Collection for Machine Learning (Y/N),Statistical Significances Found (detailed),Statistical Significances Found (Y/N),Conditions (detailed),Conditions (Y/N),Behavioral Variation (detailed),Behavioral Variation (Y/N),Adaptation + Personalization (detailed),Adaptation + Personalization (Y/N),User modeling by robot (detailed),User modeling by robot (Y/N),WoZ / Autonomous / Hybrid (detailed),WoZ / Autonomous / Hybrid,Main results,Measure Engag.? (with robot) - detailed,"Measure Engag.? (with robot, Y/N)",Engagement Measures + Results (detailed),Engagement Measures Type,Novelty Effect measures or mentioned? (Y/N),Novelty Comments/Methods,Incentivization (detailed),Comments
KM,Designing Long-term Parent-child-robot Triadic Interaction at Home through Lived Technology Experiences and Interviews,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9900834,H. Chen; A. K. Ostrowski; S. Jung Jang; C. Breazeal; H. W. Park,RO-MAN,2022,3-6 weeks,32,6,6,25 minutes,25,150,12 families -- the results are only from the parents!,12,Triadic (Parent-Child-Robot),Triadic,Education,Education,Co-Reading,Jibo,Co-reading session with children that inspired communicaiton between child and parent,USA,Home,Home,3-7 years old (5.2±0.72); and parents avg. 40.7±3.8,Children and Parents,Mixed,Y,N,N,N,No (only qual feedback),N,N/A (qualitative),N,,,No,N,No,N,Hybrid,Hybrid,"-- The results of our qualitative analysis show that social robots can improve various aspects of parent-child interaction. 

-- Qualitative feedback from interviews on: (1) positive aspects, (2) negative aspects, and (3) the specific design features they would like for the robot in the triadic interactions.

-- Specific design guidelines for triadic (parent-child-robot) interactions",No,N,N/A,None,N,,Compensation not listed.,
KM,Investigating Adaptive Robot Tutoring in a Long-Term Interaction in Higher Education,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9900865,M. Donnermann; P. Schaper; B. Lugrin,RO-MAN,2022,1 semester,unknown,3,3,40 - 45 minutes,43,129,41,41,Diadic,Diadic,Education,Education,Tutoring,Pepper,,Germany,On-Campus (not specified if lab or classroom),School,M = 20.62 (SD = 2.61),College Students,Adults (18+),Y,Y,Y,N,Yes,Y,2: adaptive and non-adaptive. WITHIN users.,Y,,,"Yes (adaptive based on performance by subtopic, also gives personalized suggestions for improvement)",Y,No -- personalization based only on performance metrics,N,Autonomous,Autonomous,"-- Student significantly preferred the adaptive robot
-- For those that reported their grades (# not specified): grades were signficiantly better if used the robot vs. if did not. 
-- In session 1, there was an increase in intrinsic motivation to deal with the material of the course after the tutoring only in the adaptive condition. After session 2 and 3 the intrinsic motivation was higher after the respective tutoring independently of condition.",No,N,N/A,None,N,,participation was voluntary at any time of the study.,"! - A total of 37 participants had interacted with the robot before, 7 participants had no prior experience with the robot.

! - Within the sample, 43 of the participants were female and 2 male.

Personalization/adaptation is very simple (but that's not necessarily a bad thing)"
KM,Living one week with an autonomous Pepper in a rehabilitation center: lessons from the field,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9900640,A. Afyouni; I. Ocnarescu; I. Cossin; E. Kamoun; A. Mazel; C. Fattal,RO-MAN,2022,1 week,7,"Free-use (total use time on avg.
2h22, min 1h20, max 4h20)",unknown,Free use,unknown,142,8,8,Diadic,Diadic,Health + Wellness,Physical Health,Rehabilitation,Pepper,"Basic entertainment/companion features: weather, youtube, music, asking questions etc.",France,Rehab Center,Rehabilitation Facility,Avg. 44.9 (23 - 56),"Patients (with chronic
neurological disorders)",Adults (18+),Y,N,Y,N,No (only qual feedback),N,N/A (qualitative),N,,,Only facial recognition,N,No,N,Autonomous,Autonomous,"-- patients enjoyed having the robot in their space, were satisfied with its phyiscal appearance, and treated it with care and respect

-- Observations on how each relationship evolved differently, depending on the person, their aptitude for Pepper and the
expectations the robots created. Also, their need for companionship, and interindividual character differences highly influenced the bond with the robot.",No,N,N/A,None,N,,Compensation not listed.,"A camera was set in a
patient room for 30 min – 1 hour to grasp daily moments
of people’s interactions with Pepper."
KM,The Impact of an In-Home Co-Located Robotic Coach in Helping People Make Fewer Exercise Mistakes,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9900722,N. Salomons; T. Wallenstein; D. Ghose; B. Scassellati,RO-MAN,2022,2 weeks,14,Daily,14,15-25 min,20,280,25 total; 14 in robot condition,14,Diadic,Diadic,Health + Wellness,Mental/Cognitive Health,Exercise,Keepon,Exercise feedback,USA,Home,Home,Avg. 21.91,General,Adults (18+),N,Y,Y,N,Yes,Y,Robot vs. computer tablet,Y,"same features over time, but expressed in different ways and reacted to user",Y,Yes in that features tailored to performance,Y,Yes based on what done incorrectly/correctly,Y,Autonomous,Autonomous,"This study shows the great benefits of having a low-cost co-located robot present when exercising. Even if the robot cannot demonstrate the exercises themselves, the presence alone has people making fewer mistakes while exercising. Reducing errors increases exercise gains and reduces the potential for injuries.",No,N,N/A,None,N,,Unknown,
KM,Merely a Conventional ‘Diffusion’ Problem? On the Adoption Process of Anki Vector,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9515369,A. Weiss; A. Pillinger; C. Tsiourti,RO-MAN,2021,7 months,210,"Free Use with 6 ""houshold visits"" for interviewing",unknown,Free Use,unknown,unknown,8,8,Family,Family,Home Use,General Purpose,Entertainment/Companionship,Vector,"Vector features -- gameplaying, internet searching, reactions to sounds, etc.",Austria,Home,Home,Varied - see paper for details 20's to 80's w and w/o children,General,Mixed,Y,N,Y,N,No,N,N/A,N,"Multiple features, user chosen",Y,No,N,N/A -- off the shelf,N,Autonomous,Autonomous,"We found that Vector failed to engage its owners in the long-term as other companion robots did before [2], [16]. Despite this fact, our data analyses and synthesis revealed that social gains (i.e status and connecting to other people) are more enduring factors than hedonic ones (i.e. entertainment, fun, pleasure) which were lost after the period of the novelty effect.","Maybe, see to track # of activities over time, but not reported well",Y,"Maybe, see to track # of activities over time, but not reported well","Count-Based (number of interactions, games, acitivites, etc.)",Y,,Hybrid -- offered to let keep robot or gave gift card at end; also 1 month without robot to measure how much missed.,They seem to have a lot of quantitative measures that they don't show/graph that would be very useful!!
KM,Teleoperated Robot Coaching for Mindfulness Training: A Longitudinal Study,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9515371,I. P. Bodala; N. Churamani; H. Gunes,RO-MAN,2021,5 weeks,35,5,5,40 min,40,200,18 (9 with robot),9,Group,Group,Health + Wellness,Mental/Cognitive Health,Mindfullness,Pepper,"we develop a teleoperation framework that enables an experienced Human Coach (HC) to conduct mindfulness training sessions virtually, by replicating their upper-body and head movements onto the Pepper robot, in real-time. ",UK,Lab,Lab,staff and students at university,Unknown,Mixed,Y,Y,Y,N,Yes,Y,Robot vs. Human coaching,Y,built in -- teleop so human has control,Y,No,N,No,N,Teleoperated,Autonomous,"Growth modelling analysis of this longitudinal data shows that the HC ratings are consistently greater than 4 (on a scale of 1−5) for all aspects while an increase is witnessed in the RC ratings over the weeks, for the Robot Motion and Conversation dimensions. Mindfulness training delivered by both types of coaching evokes positive responses from the participants across all the sessions, with the HC rated significantly higher than the RC on Animacy, Likeability and Perceived Intelligence. Participants’ personality traits such as Conscientiousness and Neuroticism are found to influence their perception of the RC. ",not beyond continuing to come into the sessions,Y,not beyond continuing to come into the sessions,Drop Out Rate (from sessions or free use),Y,,Amazon vouchers,
KM,Network Analysis of an Infant’s Motor Actions Performed in a Robot-Assisted Learning Environment,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9515493,I. Sahin; L. Bashir; A. Arnold; H. G. Tanner; E. Kokkoni,RO-MAN,2021,4 weeks,28,8,8,60 min (for total session with breaks; 3 min of analyzed free play.,3,24,1,1,Diadic,Diadic,Health + Wellness,Mental/Cognitive Health,Down Syndrom,NAO and Dash,unclear,USA,Lab,Lab,infant (24 months -- so no an infant...),Infants,Infants/Toddlers (0-3),N,Y,N,N,Not really because 1 participants,N,BWS system on/off; also tracked actions of participant over time with robot,Y,Yes -- teleoped to engage,Y,No,N,No,N,WOZ,WoZ,we identify and describe the complex nature of the infant’s motor actions displayed during interaction with both types of technology over time. ,No,N,N/A,None,N,,Would not effect participant,
KM,Exploring the applicability of the socially assistive robot Stevie in a day center for people with dementia,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9515423,L. Taylor; A. Downing; G. A. Noury; G. Masala; M. Palomino; C. McGinn; R. Jones,RO-MAN,2021,10 days,10,20,20,45 - 60 min,52.5,1050,40 (guests with dimensia); 9 staff memebrs interviewed,9,Observer,Observer,Health + Wellness,Entertainment/Game-Play,Dimentia,custom,"entertain 40 guests with dementia with three activities: (i) musical bingo, (ii) quizzes, and (iii) meet and greet",Ireland,day care for people with dimensia,Day Care,"""staff",Adults,Adults (18+),Y,N,Y,N,Yes,Y,No,N,"somewhat, different activites, teleop",Y,No,N,No,N,Hybrid,Hybrid,"Staff reported that Stevie operated as expected, guest engagement with the robot was high, interactions with the robot were natural and the robot’s novelty helped engagement. Use of the robot gave staff more time to attend to guests’ needs. Suggested improvements included improvements to the robot’s voice and adding a pause function during activities. ",Yes (survey),Y,Surveys of observations from staff -- highly rated,Surveys/Self-Reported,N,,Unknown,
KM,Using a Personalised Socially Assistive Robot for Cardiac Rehabilitation: A Long-Term Case Study,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9223491,B. Irfan; N. C. Gomez; J. Casas; E. Senft; L. F. Gutiérrez; M. Rincon-Roncancio; M. Munera; T. Belpaeme; C. A. Cifuentes,RO-MAN,2020,18 weeks,126,35,35,20-30 min,25,875,1,1,Diadic,Diadic,Health + Wellness,Physical Health,Rehabilitation,NAO," The robot monitored the patient’s progress, and provided personalised encouragement and feedback.",Colombia,outpatient care facility,Rehabilitation Facility,60 year old male,Adults,Adults (18+),Y,N,Y,N,no,N,No,N,Yes,Y,Yes -- remembers performance and references past sessions; will motivate for future sessions,Y,No,N,Autonomous,Autonomous,"The questionnaires and analysis of the video recordings of the sessions suggest that personalising the interaction is key to increasing the perceived sociability and social presence of the robot, and in turn, improving the patient’s motivation, engagement and adherence.",Yes buy survey of observed engagement from staff of the users,Y,survey and diaries -- only report quotes,Surveys/Self-Reported,N,,Unknown,
KM,Parents’ Views on Using Social Robots for Language Learning,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9223540,N. F. Tolksdorf; K. J. Rohlfing,RO-MAN,2020,2 weeks,14,4,4,20 - 30 min,25,100,29 parents,29,Observer,Observer,Education,Education,Language Learning,NAO," The robot made use of arm gestures, established eye contact with the children, spoke to children and walked with them through the room.",Germany,Lab,Lab,parents and 5 year old children,Adults,Mixed,Y,N,Y,N,No,N,N/A,N,"Yes, robot did different specific things in each session",Y,Not other than teleop,N,No,N,Teleoperated,WoZ,"We can conclude that parents are open and positive to- wards the idea of using a social robot for language learning with children. However, they postulate more adaptivity of the robot in the learning process.",No,N,No,None,N,,Unknown,
